,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
131,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
132,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
133,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.01,361,6.105263157894737,39114.0625,0.039114062499999935,0.21470309869865634,0.18217744754069878,19,0.47368421052631576,1.0925220605220605,0.013804467374546018
134,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.025,361,13.3,-137559.765625,-0.13755976562500005,0.31483178544307666,-0.4369309961235525,10,0.4,0.686211419436816,-0.027206600066655574
135,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.04,361,54.0,378222.0703125,0.3782220703125001,0.19040338941986557,1.986425091826851,4,0.75,4.906046969455533,0.06683379994552924
136,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.05500000000000001,361,56.5,214346.09375,0.2143460937499999,0.2665400813376029,0.8041795915808496,4,0.5,2.4548698845332946,0.03746800292083452
137,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.07,361,121.5,612310.15625,0.61231015625,0.16577570143528986,3.693606185638815,2,0.5,,0.10261783026917708
138,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
139,0.1,1,1,1,20,0.049999999999999996,0.10999999999999997,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
140,0.1,1,1,1,20,0.049999999999999996,0.12999999999999998,0.01,361,5.947368421052632,-24551.7578125,-0.024551757812499964,0.24120805183546457,-0.1017866427993352,19,0.42105263157894735,0.9479727349897792,-0.00040130749505530323
141,0.1,1,1,1,20,0.049999999999999996,0.12999999999999998,0.025,361,13.0,-201225.5859375,-0.20122558593749995,0.33806586023963625,-0.5952259887906522,10,0.3,0.5448471006105373,-0.04208756943582773
